EntropicMoment - momento q=0.500
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
27 | 0 | 0.750 | 2.23990e+00    | 1.55667e-10       | position
28 | 0 | 0.750 | 2.18124e+00    | 1.31638e-10       | position
29 | 0 | 0.750 | 2.05241e+00    | 1.54726e-10       | position
30 | 0 | 0.750 | 2.07311e+00    | 3.03350e-11       | position
31 | 0 | 0.750 | 2.13911e+00    | 2.09527e-10       | position
32 | 0 | 0.750 | 2.12821e+00    | 1.97236e-11       | position
33 | 0 | 0.750 | 2.10072e+00    | 2.08977e-10       | position
34 | 0 | 0.750 | 2.08391e+00    | 2.43160e-10       | position
35 | 0 | 0.750 | 2.05586e+00    | 1.12076e-10       | position
36 | 0 | 0.750 | 2.02254e+00    | 1.55817e-10       | position
37 | 0 | 0.750 | 2.30806e+00    | 2.39533e-10       | position
38 | 0 | 0.750 | 2.36807e+00    | 1.51440e-10       | position
39 | 0 | 0.750 | 2.34124e+00    | 2.51636e-10       | position
40 | 0 | 0.750 | 2.30608e+00    | 2.04609e-10       | position
41 | 0 | 0.750 | 2.19055e+00    | 2.36065e-10       | position
42 | 0 | 0.750 | 2.14923e+00    | 1.43644e-10       | position
43 | 0 | 0.750 | 2.19724e+00    | 1.23811e-10       | position
44 | 0 | 0.750 | 2.09287e+00    | 2.95875e-11       | position
45 | 0 | 0.750 | 2.06389e+00    | 1.95409e-10       | position
46 | 0 | 0.750 | 1.92243e+00    | 1.73707e-10       | position
47 | 0 | 0.750 | 2.00640e+00    | 1.01043e-10       | position
48 | 0 | 0.750 | 2.03144e+00    | 3.90003e-11       | position
49 | 0 | 0.750 | 2.08526e+00    | 2.45642e-11       | position
50 | 0 | 0.750 | 2.08687e+00    | 3.22893e-11       | position


EntropicMoment - posicion q=1.000
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 1.000 | 1.00000e+00    | 1.36330e-10       | position
2  | 0 | 1.000 | 1.00000e+00    | 5.96925e-11       | position
3  | 0 | 1.000 | 1.00000e+00    | 4.67311e-11       | position
4  | 0 | 1.000 | 1.00000e+00    | 7.11951e-11       | position
5  | 0 | 1.000 | 1.00000e+00    | 9.39545e-11       | position
6  | 0 | 1.000 | 1.00000e+00    | 1.16804e-11       | position
7  | 0 | 1.000 | 1.00000e+00    | 4.65374e-11       | position
8  | 0 | 1.000 | 1.00000e+00    | 1.15606e-11       | position
9  | 0 | 1.000 | 1.00000e+00    | 4.37690e-11       | position
10 | 0 | 1.000 | 1.00000e+00    | 6.90306e-12       | position
11 | 0 | 1.000 | 1.00000e+00    | 1.12681e-10       | position
12 | 0 | 1.000 | 1.00000e+00    | 1.88336e-11       | position
13 | 0 | 1.000 | 1.00000e+00    | 1.28022e-11       | position
14 | 0 | 1.000 | 1.00000e+00    | 6.56513e-11       | position
15 | 0 | 1.000 | 1.00000e+00    | 4.15864e-11       | position
16 | 0 | 1.000 | 1.00000e+00    | 3.70013e-11       | position
17 | 0 | 1.000 | 1.00000e+00    | 9.20539e-11       | position
18 | 0 | 1.000 | 1.00000e+00    | 1.14611e-10       | position
19 | 0 | 1.000 | 1.00000e+00    | 1.11505e-10       | position
20 | 0 | 1.000 | 1.00000e+00    | 1.87760e-11       | position
21 | 0 | 1.000 | 1.00000e+00    | 5.20089e-12       | position
22 | 0 | 1.000 | 1.00000e+00    | 9.81829e-12       | position
23 | 0 | 1.000 | 1.00000e+00    | 1.84400e-11       | position
24 | 0 | 1.000 | 1.00000e+00    | 7.05135e-11       | position
25 | 0 | 1.000 | 1.00000e+00    | 1.34327e-11       | position
26 | 0 | 1.000 | 1.00000e+00    | 5.32490e-11       | position
27 | 0 | 1.000 | 1.00000e+00    | 4.75996e-11       | position
28 | 0 | 1.000 | 1.00000e+00    | 7.49369e-11       | position
29 | 0 | 1.000 | 1.00000e+00    | 4.30760e-11       | position
30 | 0 | 1.000 | 1.00000e+00    | 1.17615e-10       | position
31 | 0 | 1.000 | 1.00000e+00    | 1.03322e-10       | position
32 | 0 | 1.000 | 1.00000e+00    | 6.88930e-11       | position
33 | 0 | 1.000 | 1.00000e+00    | 1.55997e-11       | position
34 | 0 | 1.000 | 1.00000e+00    | 1.99756e-12       | position
35 | 0 | 1.000 | 1.00000e+00    | 2.89504e-12       | position
36 | 0 | 1.000 | 1.00000e+00    | 8.84395e-11       | position
37 | 0 | 1.000 | 1.00000e+00    | 7.96205e-11       | position
38 | 0 | 1.000 | 1.00000e+00    | 7.06895e-11       | position
39 | 0 | 1.000 | 1.00000e+00    | 3.22657e-11       | position
40 | 0 | 1.000 | 1.00000e+00    | 7.75564e-11       | position
41 | 0 | 1.000 | 1.00000e+00    | 4.18641e-11       | position
42 | 0 | 1.000 | 1.00000e+00    | 6.97477e-11       | position
43 | 0 | 1.000 | 1.00000e+00    | 1.06091e-10       | position
44 | 0 | 1.000 | 1.00000e+00    | 1.02590e-11       | position
45 | 0 | 1.000 | 1.00000e+00    | 2.18077e-11       | position
46 | 0 | 1.000 | 1.00000e+00    | 1.01980e-10       | position
47 | 0 | 1.000 | 1.00000e+00    | 9.96856e-11       | position
48 | 0 | 1.000 | 1.00000e+00    | 6.43063e-11       | position
49 | 0 | 1.000 | 1.00000e+00    | 2.44571e-11       | position
50 | 0 | 1.000 | 1.00000e+00    | 3.08152e-11       | position


EntropicMoment - posicion q=1.250
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 1.250 | 3.84576e-01    | 1.08839e-10       | position
2  | 0 | 1.250 | 5.58012e-01    | 8.14515e-11       | position
3  | 0 | 1.250 | 5.33179e-01    | 6.71981e-11       | position
4  | 0 | 1.250 | 5.42342e-01    | 5.97226e-12       | position
5  | 0 | 1.250 | 5.60693e-01    | 9.63081e-12       | position
6  | 0 | 1.250 | 5.87689e-01    | 8.28262e-12       | position
7  | 0 | 1.250 | 6.18958e-01    | 9.48347e-11       | position
8  | 0 | 1.250 | 6.49073e-01    | 4.23587e-11       | position
9  | 0 | 1.250 | 6.81547e-01    | 9.88655e-11       | position
10 | 0 | 1.250 | 7.15448e-01    | 1.87763e-11       | position
11 | 0 | 1.250 | 7.18627e-01    | 3.84513e-11       | position
12 | 0 | 1.250 | 7.24578e-01    | 1.96466e-11       | position
13 | 0 | 1.250 | 7.29762e-01    | 5.66323e-11       | position
14 | 0 | 1.250 | 7.37097e-01    | 1.26892e-10       | position
15 | 0 | 1.250 | 7.45937e-01    | 1.38724e-10       | position
16 | 0 | 1.250 | 7.54920e-01    | 2.03750e-11       | position
17 | 0 | 1.250 | 7.65068e-01    | 1.38252e-10       | position
